pid,name,party,district,status,wiki_url
P286,中曽根 康隆,自民党,群馬1,現職,
P287,中田 宏,自民党,富山1,現職,
P288,永田 磨梨奈,自民党,神奈川4,現職,
P292,長妻 昭,中道改革連合,比例・東京,現職,
P295,中根 一幸,自民党,比例・北関東,現職,
P299,中村 はやと,無所属,茨城7,現職,
P301,なかや めぐ,参政党,比例・南関東,現職,
P304,鍋島 勢理,国民民主党,比例・中国,現職,
P307,西岡 義高,国民民主党,比例・南関東,現職,
P316,西山 尚利,自民党,福島1,現職,
P317,新田 章文,自民党,神奈川2,現職,
P321,根本 拓,自民党,福島2,現職,
P327,野村 美穂,国民民主党,比例・東海,現職,
P329,萩原 佳,日本維新の会,大阪9,現職,
P333,畑野 君枝,日本共産党,比例・南関東,現職,
P339,林 拓海,チームみらい,比例・東北,現職,
P341,原田 直樹,中道改革連合,比例・南関東,現職,
P342,原山 大亮,日本維新の会,比例・近畿,現職,
P343,東田 淳平,自民党,比例・近畿,現職,
P347,平沢 勝栄,自民党,東京17,現職,
P348,平沼 正二郎,自民党,比例・中国,現職,
P349,平林 晃,中道改革連合,比例・中国,現職,
P351,深作 ヘスス,国民民主党,比例・南関東,現職,
P362,藤田 誠,自民党,埼玉14,現職,
P363,藤田 洋司,自民党,比例・近畿,現職,
P366,文月 涼,自民党,比例・南関東,現職,
P368,古井 康介,自民党,比例・北陸信越,現職,
P369,古川 あおい,チームみらい,比例・九州,現職,
P370,古川 直季,自民党,神奈川6,現職,
P381,前川 恵,自民党,比例・北関東,現職,
P384,牧野 俊一,参政党,比例・九州,現職,
P385,松下 英樹,自民党,北海道9,現職,
P388,松本 泉,自民党,千葉8,現職,
P391,丸尾 なつ子,自民党,神奈川1,現職,
P393,丸田 康一郎,自民党,神奈川13,現職,
P395,水野よしひこ,自民党,愛知3,現職,
P399,峰島 侑也,チームみらい,比例・東京,現職,
P402,三原 朝利,自民党,比例・九州,現職,
P407,向山 淳,自民党,北海道8,現職,
P408,向山 好一,国民民主党,比例・近畿,現職,
P409,武藤 かず子,チームみらい,比例・北関東,現職,
P415,村上 智信,日本維新の会,比例・九州,現職,
P416,村木 汀,自民党,比例・北海道,現職,
P419,森 ようすけ,国民民主党,比例・東京,現職,
P420,森下 千里,自民党,宮城4,現職,
P421,森原 紀代子,自民党,比例・東京,現職,
P424,保岡 宏武,自民党,比例・九州,現職,
P431,山崎 正恭,中道改革連合,比例・四国,現職,
P432,山下 史守朗,自民党,愛知16,現職,
P434,山田 瑛理,チームみらい,比例・南関東,現職,
P438,山本 香苗,中道改革連合,比例・近畿,現職,
P441,山本 深,自民党,広島5,現職,
P444,横田 光弘,日本維新の会,比例・南関東,現職,
P450,米内 紘正,自民党,比例・東北,現職,
P452,若狹 清史,日本維新の会,比例・北陸信越,現職,
P455,若山 慎司,自民党,愛知10,現職,
P456,鷲尾 英一郎,自民党,新潟4,現職,
P460,渡辺 藍理,参政党,比例・東海,現職,
P464,渡辺 創,中道改革連合,宮崎1,現職,
P465,渡辺 博道,自民党,千葉6,現職,
P476,安達 悠司,参政党,比例,現職,
P481,[佐山 晃子],無所属,,現職,
P485,石井 めぐみ,日本維新の会,比例,現職,
P486,[根本 めぐみ],無所属,,現職,
P488,[小川 のり子],無所属,,現職,
P498,伊藤 辰夫,国民民主党,比例,現職,
P506,岩本 麻奈,参政党,比例,現職,
P507,[富田 麻奈],無所属,,現職,
P508,いんどう 周作,自民党,比例,現職,
P509,[犬童 周作],無所属,,現職,
P512,上野 ほたる,日本維新の会,比例,現職,
P513,[上野 蛍],無所属,,現職,
P515,牛田 茉友,国民民主党,東京,現職,
P516,[高橋 茉友],無所属,,現職,
P519,[村木 さく良],無所属,,現職,
P522,江原 くみ子,国民民主党,埼玉,現職,
P523,[江原 久美子],無所属,,現職,
P526,大津 力,参政党,埼玉,現職,
P527,岡崎 太,日本維新の会,大阪,現職,
P531,[遠藤 芙美代],無所属,,現職,
P535,尾辻 朋実,チームみらい,鹿児島,現職,
P536,[末原 朋実],無所属,,現職,
P539,かごしま 彰宏,国民民主党,神奈川,現職,
P540,[籠島 彰宏],無所属,,現職,
P541,梶原 大介,自民党,比例,現職,
P542,加田 裕之,自民党,兵庫,現職,
P566,見坂 茂範,自民党,比例,現職,
P569,郡山 りょう,立憲民主党,比例,現職,
P570,[郡山 玲],無所属,,現職,
P575,[小島 智子],無所属,,現職,
P576,古庄 玄知,自民党,大分,現職,
P577,後藤 翔太,参政党,比例,現職,
P582,小林 さやか,国民民主党,千葉,現職,
P583,[中山 さやか],無所属,,現職,
P589,櫻井 祥子,参政党,茨城,現職,
P593,[中野 理江],無所属,,現職,
P596,塩入 清香,参政党,東京,現職,
P598,[塩村 文夏],無所属,,現職,
P602,[橋本 英子],無所属,,現職,
P611,杉本 純子,参政党,愛知,現職,
P618,[高木 佳保里],無所属,,現職,
P624,[坂本 沙哉],無所属,,現職,
P629,[菊地 とし子],無所属,,現職,
P634,[田村 麻美],無所属,,現職,
P638,出川 桃子,自民党,鳥取・島根,現職,
P643,[鈴木 エリ],無所属,,現職,
P645,[土肥 理緒],無所属,,現職,
P646,永井 学,自民党,山梨,現職,
P650,[下村 清],無所属,,現職,
P652,中田 優子,参政党,福岡,現職,
P660,庭田 幸恵,国民民主党,富山,現職,
P664,初鹿野 裕樹,参政党,神奈川,現職,
P666,[石崎 聖子],無所属,,現職,
P678,平戸 航太,国民民主党,比例,現職,
P684,[福島 瑞穂],無所属,,現職,
P702,[新居 るい],無所属,,現職,
P707,[前田 明美],無所属,,現職,
P712,[川堀 絵里],無所属,,現職,
P716,[中根 順子],無所属,,現職,
P719,宮出 千慧,参政党,大阪,現職,
P720,[高森 千慧],無所属,,現職,
P721,宮本 和宏,自民党,滋賀,現職,
P724,望月 良男,無所属,和歌山,現職,
P726,[三好 雅子],無所属,,現職,
P730,山内 佳菜子,立憲民主党,宮崎,現職,
P746,吉川 沙織,立憲民主党,比例,現職,
P752,若井 敦子,自民党,岐阜,現職,
P805,平野 雨龍,無所属,,候補,
